#Probability (in percent):
# Qp: 16.022+-2.313, Qn: 17.872+-1.756, P: 38.036+-2.208, H: 28.070+-2.188
#Tim (ps)   Qp     Qn     P      H
      0     14     12     25     22
  10000     13     12     20     16
  20000     11     12     24     17
  30000     10     11     26     16
  40000     11     12     27     20
  50000     11     11     25     17
  60000     11     14     28     19
  70000      6     11     24     19
  80000      9     12     23     21
  90000      9     11     23     16
 100000     10     12     26     16
 110000     12      9     23     17
 120000     10     12     27     21
 130000     10     13     24     20
 140000     11     12     25     21
 150000     10     13     26     17
 160000     10      8     25     18
 170000     10     13     24     16
 180000     11     12     27     20
